"behavior","cluster_id","cluster_label"
"put your backpack on the floor","27","to lie on the floor"
"wander off the beaten path","10","to move around"
"buy wool","2","to buy"
"get angry with someone","9","to express negative emotions"
"put a bloody animal on it","35","to interact with animals"
"walk in between the rows of seats","20","to sit"
"play a game of 21","18","to play"
"use someone else's shampoo","37","to style"
"wear a toque","22","to wear"
"drive a motor vehicle","3","to drive"
"go surfing","5","to be in water"
"sing karaoke","13",""
"get out of the car","3","to drive"
"give someone a backrub","44","to touch someone"
"arrange the merchandise","43","to engage in store operations"
"beg for money","15","to interact with others"
"sitting on the floor","27","to lie on the floor"
"get on a roller coaster","10","to move around"
"say the pledge of allegiance","8","to participate in religious practices"
"buy someone flowers","2","to buy"
"use drugs","7",""
"go on guard duty","10","to move around"
"plant a tree","21","to care for plants"
"play with your hair","37","to style"
"make promises","15","to interact with others"
"go up to someone and ask for their number","12","to ask for something"
"surf the internet","5","to be in water"
"leave the car windows open","33","to enter spaces"
"make a copy of a religious text","26","to perform tasks"
"stand in line by yourself","40","to go"
"practice a speech","49","to interact"
"build a fire","0","to use fire"
"wear a coconut bra","22","to wear"
"make paper airplanes","26","to perform tasks"
"change the furniture around","16","to interact with objects"
"climb on the counter","4","to climb"
"dance the paso doble","45","to dance"
"look around the room","38","to look"
"wear a tutu","22","to wear"
"do a backflip","45","to dance"
"eat chocolate","31","to eat"
"put a gun rack on the wall","34","to engage with the art community"
"taking off your shoes and socks","6","to manage clothing"
"texting","48","to use a phone"
"bring a date","28","to bring items"
"gargle","39","to make loud noises"
"base a diagnosis on a single symptom or piece of evidence","23","to check"
"go in a haunted house","33","to enter spaces"
"give someone a sexual innuendo","17","to engage in sexual activities"
"check the engine coolant levels","23","to check"
"shop for souvenirs","2","to buy"
"wear dirty or ripped clothing","6","to manage clothing"
"eat cake","31","to eat"
"grow cucumbers","21","to care for plants"
"play with the kids","41","to care for children"
"use a petri dish","7",""
"play music without headphones","13",""
"hold office hours","15","to interact with others"
"use handcuffs","7",""
"ask for a loan","12","to ask for something"
"follow customers around the store","43","to engage in store operations"
"put someone in a crib with bars","41","to care for children"
"pull up flowers","21","to care for plants"
"accept tips","15","to interact with others"
"put up banners or flags","34","to engage with the art community"
"be disruptive or engage in disorderly conduct","9","to express negative emotions"
"make objections","9","to express negative emotions"
"bring a school backpack or school supplies","28","to bring items"
"ask for someone's autograph","12","to ask for something"
"ask someone for a book recommendation","12","to ask for something"
"question an order","12","to ask for something"
"go to bed without putting on a shirt","30","to sleep"
"go without a mask","10","to move around"
"eat with chopsticks","31","to eat"
"draw on the copies","26","to perform tasks"
"sit by yourself","40","to go"
"wear a fitness tracker","22","to wear"
"oversee fitness programs","15","to interact with others"
"wear a suit","22","to wear"
"chew with your mouth open","36","to use the mouth"
"play with food","25","to serve food"
"wear all white","22","to wear"
"scratch your butt","17","to engage in sexual activities"
"create new openings in the ceiling","33","to enter spaces"
"avoid using the fitting room","33","to enter spaces"
"wear a sombrero","22","to wear"
"recite bible verses","8","to participate in religious practices"
"ask for a straw","12","to ask for something"
"help people onto the ride","15","to interact with others"
"wear a low cut shirt","22","to wear"
"consume alcohol","1","to consume beverages"
"take photos or videos","19","to take photos"
"use the restroom","7",""
"get a souvenir","2","to buy"
"take your wedding photos","19","to take photos"
"clean the bathrooms","24","to clean"
"cheat on the games","18","to play"
"design and oversee the construction of highways","3","to drive"
"play chess","18","to play"
"bring a picnic","28","to bring items"
"pitch the ball","18","to play"
"prepare financial reports","26","to perform tasks"
"create a print","26","to perform tasks"
"wear a funny costume","29","to engage in humorous activities"
"wipe down the equipment","24","to clean"
"show the bottom of your feet","20","to sit"
"feed a baby","41","to care for children"
"use a coupon","2","to buy"
"ask someone questions about the crime","12","to ask for something"
"wave your country's flag","34","to engage with the art community"
"slide into a base","4","to climb"
"punch things","16","to interact with objects"
"climb on high shelves","4","to climb"
"use the towel to wipe the floor","27","to lie on the floor"
"discuss politics","42","to discuss"
"have a oyster roast","32","to cook"
"cut down a tree","21","to care for plants"
"hold a religious ceremony","8","to participate in religious practices"
"wave a flag","34","to engage with the art community"
"wear your pajamas","6","to manage clothing"
"paint your face","47","to use cosmetics"
"question someone","12","to ask for something"
"have a sleepover","30","to sleep"
"buy cheese","2","to buy"
"pass gas","3","to drive"
"keep the door open","33","to enter spaces"
"make a snow angel","34","to engage with the art community"
"add salt to food","32","to cook"
"picking flowers","21","to care for plants"
"hide under the pews","20","to sit"
"put a ""no trespassing"" sign on the door","33","to enter spaces"
"take some practice swings","18","to play"
"build altars or shrines","8","to participate in religious practices"
"grab at clothes","6","to manage clothing"
"use a tripod","7",""
"bring a water gun","28","to bring items"
"eat breakfast","31","to eat"
"have headphones in","13",""
"do a balancing pose","4","to climb"
"dangle your feet over the edge","4","to climb"
"have a first aid kit","28","to bring items"
"wear a clown costume","22","to wear"
"wear a sports bra","22","to wear"
"enter without showering first","33","to enter spaces"
"eat a turkey sandwich","31","to eat"
"break in a wild mustang","3","to drive"
"walk around without a bodyguard","10","to move around"
"get in a car","3","to drive"
"drink vodka","1","to consume beverages"
"wave your arms around and yell","39","to make loud noises"
"singing to yourself","13",""
"throw paper into the toilet","26","to perform tasks"
"answer phones","48","to use a phone"
"go for a swim","5","to be in water"
"ask for a toothbrush","12","to ask for something"
"put food in your mouth without first washing it","36","to use the mouth"
"dance the mexican hat dance","45","to dance"
"sit on the ground","20","to sit"
"spit on the floor","27","to lie on the floor"
"use the computer","7",""
"wash clothes","6","to manage clothing"
"light a match","46","to be in the dark"
"dance around in your underwear","6","to manage clothing"
"enter the store","43","to engage in store operations"
"make a purchase","2","to buy"
"shave your legs","37","to style"
"criticize the school","9","to express negative emotions"
"eat a ham and cheese sandwich","31","to eat"
"use a vacuum","7",""
"spell your name out loud","39","to make loud noises"
"praying","8","to participate in religious practices"
"order a large quantity of food","25","to serve food"
"conduct an experiment","23","to check"
"wear your school uniform","22","to wear"
"buy condoms","2","to buy"
"give a compliment to the judge","9","to express negative emotions"
"kiss someone on the cheek","44","to touch someone"
"take a call","48","to use a phone"
"sit for more than 20 minutes","20","to sit"
"leave without making a purchase","11","to leave"
"interrupt the show","9","to express negative emotions"
"buy an herbal supplement","2","to buy"
"get close to the body","17","to engage in sexual activities"
"wear a hijab","22","to wear"
"pick your teeth with your fingers","36","to use the mouth"
"drink yerba mate","1","to consume beverages"
"pick mushrooms","21","to care for plants"
"listen quietly","39","to make loud noises"
"spin in circles","45","to dance"
"eat eggs","31","to eat"
"get in the way of couples dancing","45","to dance"
"sell merchandise","2","to buy"
"pray to a god","8","to participate in religious practices"
"proselytize to people","8","to participate in religious practices"
"kick someone in the head","44","to touch someone"
"wear a swimsuit","22","to wear"
"cut up a living animal","35","to interact with animals"
"fix electrical","16","to interact with objects"
"communicate with the pilot to relay information about the flight","49","to interact"
"act aggressively","9","to express negative emotions"
"wear a sarong","22","to wear"
"pick your teeth","36","to use the mouth"
"go swimming","5","to be in water"
"touch a rusty car","3","to drive"
"go camping","10","to move around"
"use the shower","7",""
"get on a ride","10","to move around"
"cooking","32","to cook"
"advocate for a return to traditional values","15","to interact with others"
"light a fire","0","to use fire"
"bring a beach towel","28","to bring items"
"wear clothes made of animal skin","22","to wear"
"climb onto the field","4","to climb"
"put up a ""closed"" sign","34","to engage with the art community"
"call for backup","15","to interact with others"
"cover your eyes with your hands","14","to use your hands"
"cut down trees","21","to care for plants"
"walk backwards","10","to move around"
"dance the tango","45","to dance"
"ask for a free sample","12","to ask for something"
"operate a excavator","16","to interact with objects"
"push your body beyond its natural limits","17","to engage in sexual activities"
"stay fully clothed","6","to manage clothing"
"pacing","10","to move around"
"run around the field","10","to move around"
"washing your hands","14","to use your hands"
"look at the price tags","23","to check"
"leave the room dirty","11","to leave"
"go on a rollercoaster by yourself","40","to go"
"aim a gun at something","18","to play"
"leave your car unlocked","3","to drive"
"convert someone to your own beliefs","8","to participate in religious practices"
"brag about your conquests","9","to express negative emotions"
"wear a ring","22","to wear"
"stop for a hitchhiker","3","to drive"
"look at the stars","38","to look"
"write a love letter","26","to perform tasks"
"drink protein shakes","1","to consume beverages"
"get physically close to other people","44","to touch someone"
"dance a jig","45","to dance"
"give someone directions to the nearest restroom","12","to ask for something"
"ask someone for their phone number","12","to ask for something"
"maintain accurate records","23","to check"
"buy makeup","2","to buy"
"hold hands","14","to use your hands"
"ask for directions","12","to ask for something"
"cook with duck","32","to cook"
"cook with the door open","33","to enter spaces"
"arrive late to an appointment","15","to interact with others"
"aim a gun at someone","44","to touch someone"
"mention the need to recycle or compost","24","to clean"
"use slang","7",""
"help someone eat meals","25","to serve food"
"bathe","5","to be in water"
"throw a frisbee","18","to play"
"sit on your someone's lap","44","to touch someone"
"pick your nails","14","to use your hands"
"take a sample of a patient's tissue","23","to check"
"administer vaccines and medications","15","to interact with others"
"use fluorescent lighting","46","to be in the dark"
"write a paper","26","to perform tasks"
"say please and thank you","12","to ask for something"
"grow vegetables","21","to care for plants"
"wear fake eyelashes","22","to wear"
"throw away a patient's belongings","11","to leave"
"licking your fingers","36","to use the mouth"
"putting your hands in your mouth","14","to use your hands"
"have premarital sex","17","to engage in sexual activities"
"pacing back and forth","10","to move around"
"use the call button","48","to use a phone"
"take a bath with someone","44","to touch someone"
"scratching yourself","17","to engage in sexual activities"
"have food or drink","1","to consume beverages"
"lean on the altar","8","to participate in religious practices"
"work on a computer","16","to interact with objects"
"clean the windshield","24","to clean"
"play music for money","13",""
"do water aerobics","5","to be in water"
"get up and leave without saying goodbye","11","to leave"
"vaccinate the animals","35","to interact with animals"
"use styrofoam packaging","7",""
"try on lingerie","6","to manage clothing"
"stop and help a stranded motorist","3","to drive"
"handle poisonous insects","21","to care for plants"
"play a romantic song on the guitar","13",""
"talk during the service","49","to interact"
"buy counterfeit goods","2","to buy"
"pass out propaganda","9","to express negative emotions"
"use oils","47","to use cosmetics"
"light a fire inside the apartment","0","to use fire"
"ask for a hug","12","to ask for something"
"bring animals","35","to interact with animals"
"kissing","17","to engage in sexual activities"
"work alone","40","to go"
"hire staff","15","to interact with others"
"go to bed without brushing your teeth","30","to sleep"
"have a garden","21","to care for plants"
"ask to sit at another table","20","to sit"
"suck on ice chips","31","to eat"
"listen to loud music","13",""
"take your hands off the wheel","14","to use your hands"
"open the windows","33","to enter spaces"
"wash the prints","24","to clean"
"operate a power tool","16","to interact with objects"
"file your own paperwork","26","to perform tasks"
"ask personal questions about someone's life","12","to ask for something"
"throw rocks in the water","5","to be in water"
"have a fish fry","5","to be in water"
"roll down the windows","16","to interact with objects"
"browse the internet","38","to look"
"fly a flag from the balcony","34","to engage with the art community"
"ask someone to have sex with you","12","to ask for something"
"sit on the clothes racks","6","to manage clothing"
"encourage student participation","15","to interact with others"
"do a jigsaw puzzle","16","to interact with objects"
"get a piercing","17","to engage in sexual activities"
"walk across the stage","10","to move around"
"get surgery","15","to interact with others"
"build a house","34","to engage with the art community"
"dance with props","45","to dance"
"clear away used dishes from tables","24","to clean"
"gossip about co-workers","49","to interact"
"say hello to someone","49","to interact"
"put a cross on it","34","to engage with the art community"
"bow to your boss","15","to interact with others"
"arguing","42","to discuss"
"wear a backpack","22","to wear"
"eat honey","31","to eat"
"change the decor in the room","34","to engage with the art community"
"set up a booth","15","to interact with others"
"burn trash","0","to use fire"
"receiving a massage without first showering","17","to engage in sexual activities"
"drive slowly","3","to drive"
"try on jewelry","47","to use cosmetics"
"pick someone up","44","to touch someone"
"climb up on a chair","4","to climb"
"plan and coordinate operations","15","to interact with others"
"play a full game of basketball","18","to play"
"arrive by ambulance","15","to interact with others"
"wear a sari","22","to wear"
"perform acrobatic feats","45","to dance"
"walk slowly","10","to move around"
"hit a ball","18","to play"
"wave an argentine flag in the air","34","to engage with the art community"
"drive without a seatbelt","3","to drive"
"wear your wedding ring","22","to wear"
"talk dirty","49","to interact"
"set off fireworks","0","to use fire"
"dance on a pole","45","to dance"
"dance in the dugout","45","to dance"
"communicate with air traffic control","49","to interact"
"clap your hands","14","to use your hands"
"give advice to a player","49","to interact"
"eat fish","31","to eat"
"take a selfie with a jockey","19","to take photos"
"bring pork or bacon","28","to bring items"
"go out","10","to move around"
"ask to see the toys section","43","to engage in store operations"
"lift a fingerprint from a doorknob","33","to enter spaces"
"leave your bike","11","to leave"
"sit in someone else's seat","20","to sit"
"remove your shoes","6","to manage clothing"
"ask someone to please speak more slowly","49","to interact"
"complaining about the prices","9","to express negative emotions"
"study","23","to check"
"ask someone for food","25","to serve food"
"slam on the brakes","3","to drive"
"answer questions from the public","12","to ask for something"
"chop down trees to make runs","21","to care for plants"
"have a loud conversation","39","to make loud noises"
"sleep in a sleeping bag on the floor","27","to lie on the floor"
"wear a scarf","22","to wear"
"spend money","2","to buy"
"take medication","15","to interact with others"
"sell a religious item","8","to participate in religious practices"
"open the door for guests","33","to enter spaces"
"ignore your spouse","9","to express negative emotions"
"ignore a customer","15","to interact with others"
"change clothes","6","to manage clothing"
"laugh for no reason","29","to engage in humorous activities"
"husk the corn","21","to care for plants"
"make crude comments","9","to express negative emotions"
"ask to use the phone","48","to use a phone"
"drink from the water fountain","1","to consume beverages"
"cooking with oil","32","to cook"
"spin around in a circle","45","to dance"
"interrupt the speaker","9","to express negative emotions"
"declaw an animal","35","to interact with animals"
"enter a beauty pageant","17","to engage in sexual activities"
"clean the toilets","24","to clean"
"sue someone","44","to touch someone"
"have friends over","17","to engage in sexual activities"
"apply a bandage","47","to use cosmetics"
"bend over to pick up a toy","16","to interact with objects"
"teach classes","15","to interact with others"
"eat meat","31","to eat"
"walk a dog","35","to interact with animals"
"use a sanitary pad","7",""
"move furniture around","16","to interact with objects"
"carry a guitar","28","to bring items"
"serve champagne","1","to consume beverages"
"buy expensive drinks","1","to consume beverages"
"play marco polo","18","to play"
"attempt to do a handstand","14","to use your hands"
"work on choreography","45","to dance"
"jeer or boo","9","to express negative emotions"
"stretch","20","to sit"
"openly express your views","42","to discuss"
"break something intentionally","16","to interact with objects"
"play with your food","25","to serve food"
"touch the altar","8","to participate in religious practices"
"leave the register unattended","11","to leave"
"have a party","17","to engage in sexual activities"
"reach up to get a cup from a high shelf","43","to engage in store operations"
"vomit","9","to express negative emotions"
"go on a date with someone","44","to touch someone"
"start a fight","9","to express negative emotions"
"make silly faces","29","to engage in humorous activities"
"send a text message","48","to use a phone"
"clean a tombstone","24","to clean"
"spit in public","36","to use the mouth"
"carrying a purse","28","to bring items"
"open your mouth wide","36","to use the mouth"
"honk the horn","39","to make loud noises"
"hit a heavy bag","16","to interact with objects"
"speaking in a loud voice","39","to make loud noises"
"lift weights without a spotter","4","to climb"
"buy spray paint","47","to use cosmetics"
"eat a candy bar","31","to eat"
"get out and look around","38","to look"
"wear slippers","22","to wear"
"look around","38","to look"
"put on the blinkers","3","to drive"
"eat cookies","31","to eat"
"leave hair on the floor","27","to lie on the floor"
"wear a hockey jersey","22","to wear"
"answer a question with a question","12","to ask for something"
"participate in patriotic displays","34","to engage with the art community"
"make type of offering to the dead","8","to participate in religious practices"
"interview a source","49","to interact"
"pull the fire alarm","0","to use fire"
"give a standing ovation","9","to express negative emotions"
"climb up to the balcony","4","to climb"
"fly a kite","10","to move around"
"wear your hoodie up","22","to wear"
"demand a refund","9","to express negative emotions"
"wear a midriff shirt","22","to wear"
"cook meat on a grill","32","to cook"
"do drugs","47","to use cosmetics"
"touch a monk","44","to touch someone"
"play in the sand","5","to be in water"
"wipe down the tables","24","to clean"
"fertilize it","21","to care for plants"
"ask for a cappuccino","12","to ask for something"
"go hiking by yourself","40","to go"
"wear a chuni","22","to wear"
"challenge your boss","9","to express negative emotions"
"lay on the sand","20","to sit"
"use a lance","7",""
"check the engine instruments","23","to check"
"study for a test","23","to check"
"shave a someone's head","37","to style"
"have a quinceañera","17","to engage in sexual activities"
"go without a coat","10","to move around"
"wear your shoes","6","to manage clothing"
"pet the animals","35","to interact with animals"
"bring a camera","19","to take photos"
"say a prayer before eating","31","to eat"
"make a mud pie","32","to cook"
"run with the ball","18","to play"
"have a christening","8","to participate in religious practices"
"stick your hand in an engine","3","to drive"
"advocate for safer working conditions","15","to interact with others"
"check id's","23","to check"
"hide","20","to sit"
"ask the driver to play music loudly","13",""
"take your eye off the ball","38","to look"
"do jumping jacks","4","to climb"
"use artificial colors","47","to use cosmetics"
"hand out propaganda","9","to express negative emotions"
"leave tools and equipment","11","to leave"
"put a rosary on it","8","to participate in religious practices"
"have a conversation about your bodily functions","42","to discuss"
"advocate for government intervention in the economy","15","to interact with others"
"study abroad","26","to perform tasks"
"make funny faces","29","to engage in humorous activities"
"demand a private room","17","to engage in sexual activities"
"bring meat","28","to bring items"
"adopt a new animal","35","to interact with animals"
"take water from the baptismal font","5","to be in water"
"wear a wedding dress","22","to wear"
"wear leather","22","to wear"
"ask for a raise","12","to ask for something"
"sweep and mop the floor","24","to clean"
"avoid eye contact with people of a different gender","38","to look"
"watching another team's practices","18","to play"
"write a love note","26","to perform tasks"
"bake on shabbat","32","to cook"
"pick up a heavy object","16","to interact with objects"
"grow wheat","21","to care for plants"
"stare at someone in the shop","38","to look"
"light a religious candle","8","to participate in religious practices"
"check guests in and assign rooms","15","to interact with others"
"put a sword on it","34","to engage with the art community"
"make a sandwich for lunch","31","to eat"
"contemplate existence","42","to discuss"
"bring a book to read","26","to perform tasks"
"judge someone based on their appearance","38","to look"
"buy a gift for your grandparent","2","to buy"
"bring a man","28","to bring items"
"jump off","4","to climb"
"go in the hot tub","5","to be in water"
"clean up spills","24","to clean"
"make a report","26","to perform tasks"
"stare at the floor","27","to lie on the floor"
"look through the medical files","23","to check"
"walk on the tracks","10","to move around"
"get a tattoo of a snake","34","to engage with the art community"
"drink chocolate milk","1","to consume beverages"
"follow someone around the store","43","to engage in store operations"
"inspect a gun closely","23","to check"
"share utensils with someone","25","to serve food"
"veg out in front of the tv","32","to cook"
"sweep the walkways","24","to clean"
"help with the livestock","35","to interact with animals"
"put knives in the dishwasher","32","to cook"
"handle knives","32","to cook"
"make comments about the victim's appearance","42","to discuss"
"park your car","3","to drive"
"sit at a poker table","20","to sit"
"look at the map","38","to look"
"climb on top of the fridge","4","to climb"
"set up a table with information about upcoming fights and events","26","to perform tasks"
"play a game on your phone","48","to use a phone"
"have a garden party","21","to care for plants"
"check a car's engine","23","to check"
"wear blue jeans","22","to wear"
"check the locks on the doors","33","to enter spaces"
"make sexual jokes","29","to engage in humorous activities"
"have your phone on your person","48","to use a phone"
"say ""thank you""","15","to interact with others"
"arrange the fruit and vegetables in an attractive display","43","to engage in store operations"
"gamble on the outcome of an event","18","to play"
"laugh at the animals","35","to interact with animals"
"eat off the floor","27","to lie on the floor"
"dancing the pyrrhichios","45","to dance"
"have sex in a dorm room","17","to engage in sexual activities"
"take pictures","19","to take photos"
"go to see a football game","18","to play"
"put your hand on someone's head","44","to touch someone"
"bring an animal","35","to interact with animals"
"use a dating app","7",""
"flip burgers","32","to cook"
"reach over someone else's plate","44","to touch someone"
"take blood from a patient","15","to interact with others"
"put on a nicotine patch","47","to use cosmetics"
"intentionally scare someone","9","to express negative emotions"
"pick up a prostitute","15","to interact with others"
"argue with your spouse","42","to discuss"
"grow rice","21","to care for plants"
"wear perfume","47","to use cosmetics"
"ask a question","12","to ask for something"
"give away free haircuts","37","to style"
"ask someone for a discount","12","to ask for something"
"bring a pillow","28","to bring items"
"apply vaseline to someone's face","47","to use cosmetics"
"prophesying","8","to participate in religious practices"
"build a campfire","0","to use fire"
"sign your scorecard","26","to perform tasks"
"go swimming by yourself","40","to go"
"carry groceries to someone's car","3","to drive"
"bend down frequently","20","to sit"
"use a garden hose to water the garden","21","to care for plants"
"replace the towels","24","to clean"
"defend the ball","18","to play"
"have a co2 tank","7",""
"arrive after it opens","33","to enter spaces"
"make copies for commercial purposes","26","to perform tasks"
"drive a tank","3","to drive"
"play baccarat","18","to play"
"maintain the studio and its equipment","16","to interact with objects"
"have a wedding ceremony","8","to participate in religious practices"
"use a curling iron","7",""
"wear a religious symbol","8","to participate in religious practices"
"put up a birdhouse","34","to engage with the art community"
"blow bubbles","36","to use the mouth"
"kill a cow","35","to interact with animals"
"go in the winter","10","to move around"
"clean up the field","24","to clean"
"leave food out in the open","25","to serve food"
"run down the aisle","43","to engage in store operations"
"have fun","18","to play"
"use a public restroom","7",""
"play in the creek","5","to be in water"
"use a power drill","7",""
"speak in public","49","to interact"
"drink tea","1","to consume beverages"
"dance in a provacative manner","45","to dance"
"pour boiling water into a cup","32","to cook"
"bring pets","35","to interact with animals"
"test the snow quality","23","to check"
"climb onto the roof","4","to climb"
"wear a basketball jersey","22","to wear"
"engage in type of proselytizing","8","to participate in religious practices"
"put up posters or flyers advertising events or beliefs","34","to engage with the art community"
"drive","3","to drive"
"bring flowers","28","to bring items"
"drinking alcohol","1","to consume beverages"
"avoid moving your head or neck too much","10","to move around"
"interpret laws and regulations","23","to check"
"bowing to elders","8","to participate in religious practices"
"conduct research on the behavior and ecology of animals","35","to interact with animals"
"engage in bdsm activities","17","to engage in sexual activities"
"go shirtless","6","to manage clothing"
"cross the foul line","18","to play"
"dance in the waiting room","45","to dance"
"buy a lottery ticket","2","to buy"
"eat your boogers","31","to eat"
"play pool","5","to be in water"
"feed the cat","25","to serve food"
"go after hours","10","to move around"
"hug","17","to engage in sexual activities"
"have a workshop","16","to interact with objects"
"maintain a record of the proceedings","23","to check"
"call out the owner for exploiting workers","15","to interact with others"
"carry heavy items","28","to bring items"
"chant someone's name","9","to express negative emotions"
"using a hair dryer","37","to style"
"haggle or negotiate over prices","49","to interact"
"get a shave","37","to style"
"take food or drink from the altar","8","to participate in religious practices"
"put expired products out for sale","2","to buy"
"accept a personal check","15","to interact with others"
"sit in silence","20","to sit"
"wear a plunging neckline","22","to wear"
"write on the chalkboard","26","to perform tasks"
"argue with the salesperson","49","to interact"
"put up a poster of a scantily-clad person","34","to engage with the art community"
"wear loose clothing","6","to manage clothing"
"throw a temper tantrum","9","to express negative emotions"
"have a bar mitzvah","8","to participate in religious practices"
"sit in the lotus position and rock back and forth","20","to sit"
"sing a song","13",""
"conduct individual and group therapy sessions","15","to interact with others"
"wear a denim jacket","22","to wear"
"show up after the performance started","15","to interact with others"
"work out in front of other people","17","to engage in sexual activities"
"bring your chicken","28","to bring items"
"sell processed foods","2","to buy"
"take your shoes off","6","to manage clothing"
"use the printer for personal use","7",""
"say ""sir"" or ""ma'am""","39","to make loud noises"
"buy makeup in a plastic bottle","2","to buy"
"dance the can-can","45","to dance"
"use a net","7",""
"get a tattoo of a gang symbol","34","to engage with the art community"
"talk to inanimate objects","49","to interact"
"give someone a bath","44","to touch someone"
"do acrobatics","45","to dance"
"killing a fly","21","to care for plants"
"cook with wheat pasta","32","to cook"
"buy someone a drink","1","to consume beverages"
"allow horseplay","35","to interact with animals"
"act like a fool","29","to engage in humorous activities"
"use electrical equipment","7",""
"sit still","20","to sit"
"put up posters or flyers supporting your country","34","to engage with the art community"
"punish someone","44","to touch someone"
"take a polygraph test","23","to check"
"use a spoon","7",""
"make copies of propaganda","26","to perform tasks"
"use bleach","47","to use cosmetics"
"go down a slide","10","to move around"
"withhold food","25","to serve food"
"put your hand in your pocket","14","to use your hands"
"intimidate people","9","to express negative emotions"
"leave clothes on the floor","27","to lie on the floor"
"read a map","26","to perform tasks"
"use charms or amulets","7",""
"use the dressing room","6","to manage clothing"
"sleep with someone else","30","to sleep"
"enter without a shirt","6","to manage clothing"
"have an orgasm","17","to engage in sexual activities"
"arrange for transportation","3","to drive"
"clean and sanitize the bathrooms","24","to clean"
"attempt to climb onto the stage","4","to climb"
"eat solid food","31","to eat"
"play cards","18","to play"
"throw up","9","to express negative emotions"
"put a rattle on it","16","to interact with objects"
"sit on it with your shoes on","20","to sit"
"try on clothes","6","to manage clothing"
"use a cell phone","48","to use a phone"
"go outside without your uniform","6","to manage clothing"
"scratch your privates","17","to engage in sexual activities"
"throwing a party","17","to engage in sexual activities"
"scrub the deck","24","to clean"
"make out","17","to engage in sexual activities"
"monitor the health of the animals","35","to interact with animals"
"wear a parka","22","to wear"
"buy a ring","2","to buy"
"eat with a fork and knife","31","to eat"
"lay on the floor","27","to lie on the floor"
"go without an umbrella","10","to move around"
"picking your nose","36","to use the mouth"
"ask for a 'manly' haircut","37","to style"
"use a plunger","7",""
"play the drums","13",""
"kick the ground","27","to lie on the floor"
"go to the bathroom alone","40","to go"
"read a textbook","26","to perform tasks"
"put a female cat in a male cat's pen","35","to interact with animals"
"sit on the couch","20","to sit"
"ask someone out","12","to ask for something"
"stand on the diving board","5","to be in water"
"allow pet inside","35","to interact with animals"
"swing on a ride","3","to drive"
"work more than 12 hours in a day","15","to interact with others"
"listen to music without headphones","13",""
"get a job","15","to interact with others"
"use a photocopier","19","to take photos"
"warm up","6","to manage clothing"
"apply pesticides and herbicides to the turfgrass","21","to care for plants"
"hand out bulletins","26","to perform tasks"
"jump in a pile of mud","5","to be in water"
"sample the fruit","25","to serve food"
"shower before swimming","5","to be in water"
"stop","3","to drive"
"negotiate a lower price","49","to interact"
"dive for a ball","18","to play"
"chase the ball","18","to play"
"sleep on the floor","27","to lie on the floor"
"use strong perfume or cologne","47","to use cosmetics"
"watch tv","38","to look"
"interrupt someone's conversation","49","to interact"
"draw on the walls","34","to engage with the art community"
"say the alphabet out loud","39","to make loud noises"
"stop to change a tire","3","to drive"
"bring a nerf gun","28","to bring items"
"drink caffeine","1","to consume beverages"
"lay down on the floor","27","to lie on the floor"
"play a loud instrument","39","to make loud noises"
"turn in an assignment","26","to perform tasks"
"sweep the sidewalks","24","to clean"
"stroll hand in hand","14","to use your hands"
"study in the library","26","to perform tasks"
"buy a fur coat","2","to buy"
"file your nails","26","to perform tasks"
"arrive late to class","15","to interact with others"
"cook pasta","32","to cook"
"look at someone in a sexual way","38","to look"
"catch the ball in your hand","18","to play"
"climb a tree","4","to climb"
"repaint faded lines","47","to use cosmetics"
"pray to jesus","8","to participate in religious practices"
"cook meat","32","to cook"
"make copies of a passport","26","to perform tasks"
"post a picture of yourself on social media","19","to take photos"
"climb on top of the beds","4","to climb"
"put your bags on the floor","27","to lie on the floor"
"reach for something on a high shelf","43","to engage in store operations"
"try on shoes","6","to manage clothing"
"drink tap water","1","to consume beverages"
"hit things","16","to interact with objects"
"take a nap in a hammock","30","to sleep"
"buy a gift for a child","2","to buy"
"spend a lot of time in front of the mirror","38","to look"
"eat food off the ground","25","to serve food"
"walk long distances","10","to move around"
"vomit in the toilet","24","to clean"
"bury a person in the sand","44","to touch someone"
"follow someone around","10","to move around"
"walking around with no clothes on","6","to manage clothing"
"buy a slice of pizza","2","to buy"
"pee your pants","6","to manage clothing"
"order new merchandise","2","to buy"
"ask for a beard trim","37","to style"
"post on social media","26","to perform tasks"
"communicate with the pilot of the aircraft","49","to interact"
"eat something","31","to eat"
"using oven mitts","32","to cook"
"check the engine oil levels","23","to check"
"bring a dog","35","to interact with animals"
"move around","10","to move around"
"criticize the performers","9","to express negative emotions"
"carry a heavy tray of food or drinks","1","to consume beverages"
"speak at the front of the room","49","to interact"
"play sports","18","to play"
"wear tight clothing","22","to wear"
"take notes on the discussion","42","to discuss"
"appreciate the beauty","38","to look"
"wipe down the lane","24","to clean"
"raise your hand","14","to use your hands"
"check the horse's hooves for stones or debris","23","to check"
"put a patient on a stretcher","15","to interact with others"
"smoking cigarettes","0","to use fire"
"use a blow dryer","7",""
"sell bacon","2","to buy"
"hide and seek","10","to move around"
"go during a solar eclipse","46","to be in the dark"
"have phone sex","48","to use a phone"
"exchange an item","2","to buy"
"dismiss someone's ideas","42","to discuss"
"bet on a race","3","to drive"
"ask for a to-go box","12","to ask for something"
"pick up a bowling ball","18","to play"
"have a pen and paper","26","to perform tasks"
"rake a bunker","21","to care for plants"
"humming to yourself","13",""
