"id","representation","action","context","agent_role","target_role","source","n_responses","majority_norm","pct_majority"
"scj_356_b4raaw","Not wanting to pay for my tuxedo rental at my friend's wedding","not wanting to pay for my tuxedo rental at my friend's wedding","","author","friend","scruples_justice","9","Just","0.889"
"scj_357_b6hidc","Wanting some money back from my boyfriend after he broke up with me","wanting some money back from my boyfriend after he broke up with me","","author","boyfriend","scruples_justice","16","Unjust","0.75"
"scj_358_aypz4y","Not Paying It Forward","not paying it forward","","author","other person","scruples_justice","35","Just","0.943"
"scj_359_ay6j4u","If I Didn't Pay My Friend To Build My PC","not paying my friend to build my pc","","author","friend","scruples_justice","11","Unjust","0.545"
"scj_360_b2n4am","Not wanting to give a friend money","not wanting to give a friend money","","author","other person","scruples_justice","7","Just","1.0"
"scj_361_akal2a","Not paying the repairmen fees for my friend’s cracked screen","not paying the repairmen fees for my friend's cracked screen","","author","friend","scruples_justice","9","Unjust","0.667"
"scj_362_ay8j3d","""not paying attention"" to my gf on her birthday","""not paying attention"" to my gf on her birthday","","author","other person","scruples_justice","19","Unjust","0.895"
"scj_364_a8i04s","Not paying for my roommates laptop that I may have broken","not paying for my roommates laptop that I may have broken","","author","other person","scruples_justice","9","Just","0.667"
"scj_365_b0mkbj","Not giving my parents more money","not giving my parents more money","","author","other person","scruples_justice","50","Just","1.0"
"scj_366_avldle","Feeling annoyed that my(23M) GF(29F) makes more money than me","feeling annoyed that my GF makes more money than me","","author","other person","scruples_justice","14","Unjust","0.786"
"scj_368_b59mn5","Getting angry at babysitting my 3 year old brother","getting angry at babysitting my 3 year old brother","","author","other person","scruples_justice","32","Just","1.0"
"scj_369_af23zr","If I steal a Mountain Dew voltage can from my roommate but put a $1 bill on the box","stealing a Mountain Dew voltage can from my roommate but putting a $1 bill on the box","","author","roommate","scruples_justice","11","Unjust","0.909"
"scj_370_azcvg0","WIBTA if I asked my friend to pay the $250 cleaning fee for the car I rented","asking my friend to pay the $250 cleaning fee for the car I rented","","author","friend","scruples_justice","12","Unjust","0.583"
"scj_371_a0n1mf","Feeling like my friends owe me their presence when I buy them dinner","feeling like my friends owe me their presence when I buy them dinner","","author","other person","scruples_justice","6","Just","1.0"
"scj_372_b51w7e","Not paying a guy back after we didn’t work out","not paying a guy back after we didn't work out","","author","other person","scruples_justice","9","Just","1.0"
"scj_373_aolru3","Reneging on a commission","reneging on a commission","","author","other person","scruples_justice","8","Just","0.5"
"scj_374_ajvg6l","Bringing up the obvious imbalance in who does the housework in my family home","bringing up the obvious imbalance in who does the housework in my family home","","author","other person","scruples_justice","6","Just","1.0"
"scj_375_b9ip08","Asking my friend for money back in front of everyone","asking my friend for money back in front of everyone","","author","friend","scruples_justice","36","Just","0.667"
"scj_376_ab2wua","If I don’t want kids because I want to retire early and enjoy my life without having to worry about extra expenses","not wanting kids because I want to retire early and enjoy my life without having to worry about extra expenses","","author","other person","scruples_justice","15","Just","0.933"
"scj_377_b4vq3r","Not paying half the costs","not paying half the costs","","author","other person","scruples_justice","8","Just","0.875"
"scj_378_b4i34t","Wanting to split a speeding ticket","wanting to split a speeding ticket","","author","other person","scruples_justice","30","Unjust","1.0"
"scj_379_a60jcc","Not offering to pay the diminished value of my son in laws truck I wrecked","not offering to pay the diminished value of my son in laws truck I wrecked","","author","son","scruples_justice","10","Just","0.5"
"scj_380_b80so0","Moving other people's laundry","moving other people's laundry","","author","other person","scruples_justice","17","Just","0.765"
"scj_381_9zouvh","Bailing on my family trip last minute and refusing to pay our part of the bill","bailing on my family trip last minute and refusing to pay our part of the bill","","author","other person","scruples_justice","19","Just","0.579"
"scj_382_atk588","Not wanting to do my wife's chores","not wanting to do my wife's chores","","author","wife","scruples_justice","27","Unjust","1.0"
"scj_385_aok31g","Refusing to pay and work on a house we are renting","refusing to pay and work on a house we are renting","","author","other person","scruples_justice","5","Just","0.8"
"scj_386_aeo1z8","WIBTA for asking to get paid","asking to get paid","","author","other person","scruples_justice","5","Just","1.0"
"scj_387_b7ewvz","Being upset that my husband likes to spend all his money gambling","being upset that my husband likes to spend all his money gambling","","author","husband","scruples_justice","5","Just","1.0"
"scj_388_al5il5","Not forgiving some of my daughter's debt","not forgiving some of my daughter's debt","","author","daughter","scruples_justice","58","Unjust","0.862"
"scj_390_az6aai","Not lending my friend money","not lending my friend money","","author","friend","scruples_justice","9","Just","1.0"
"scj_391_aj1tlj","Wanting to relax at home and save money","wanting to relax at home and save money","","author","other person","scruples_justice","9","Just","1.0"
"scj_392_aqa5rg","Not tipping the bartender after every $1 drink","not tipping the bartender after every $1 drink","","author","other person","scruples_justice","40","Unjust","0.525"
"scj_393_b4lvy3","Not wanting to pay for my children's spring class pictures","not wanting to pay for my children's spring class pictures","","author","other person","scruples_justice","10","Just","1.0"
"scj_394_a4yccu","Not wanting to have to pay my father for a car that the person tried to give to him for free, but he insisted on paying for anyway","not wanting to have to pay my father for a car that the person tried to give to him for free, but he insisted on paying for anyway","","author","father","scruples_justice","8","Unjust","0.625"
"scj_395_acr9lp","Objecting to my wife's work commitments and the burden they place on me with respect to child care","objecting to my wife's work commitments and the burden they place on me with respect to child care","","author","wife","scruples_justice","6","Unjust","0.667"
"scj_396_ac2xn9","Paying for my mum and sisters day out!","paying for my mum and sisters day out","","author","other person","scruples_justice","8","Just","1.0"
"scj_397_aliusz","Not wanting to be my sister's surrogate after she was my caregiver","not wanting to be my sister's surrogate after she was my caregiver","","author","sister","scruples_justice","16","Just","0.938"
"scj_399_ahefb3","Wanting to leave a non-excessive tip","wanting to leave a non-excessive tip","","author","other person","scruples_justice","15","Just","1.0"
"scj_400_ao57cb","Asking my husband to get his ex wife off the phone plan that she refuses to pay","asking my husband to get his ex wife off the phone plan that she refuses to pay","","author","husband","scruples_justice","11","Just","0.909"
"scj_401_aufhfm","If I decide to stop paying union dues","deciding to stop paying union dues","","author","other person","scruples_justice","12","Unjust","0.917"
"scj_402_b8o4bp","Not Tipping the Waiter","not tipping the Waiter","","author","other person","scruples_justice","22","Unjust","0.591"
"scj_403_b71ni1","Not babysitting a family member’s toddler on my vacation","not babysitting a family member's toddler on my vacation","","author","other person","scruples_justice","53","Just","0.943"
"scj_404_acrdta","Tipping the pizza delivery person more than my wife thought I should","tipping the pizza delivery person more than my wife thought I should","","author","wife","scruples_justice","9","Just","0.667"
"scj_405_b07t7k","Asking my friend to cover the cost of my hotel room","asking my friend to cover the cost of my hotel room","","author","friend","scruples_justice","20","Just","1.0"
"scj_406_ar2d5s","Doing the easy chores","doing the easy chores","","author","other person","scruples_justice","9","Just","0.667"
"scj_407_aeelz5","Reporting a Lyft driver on his first day and requesting a refund for a long trip","reporting a Lyft driver on his first day and requesting a refund for a long trip","","author","other person","scruples_justice","31","Just","0.839"
"scj_408_9x0yob","Calling out an indie game developer for going on vacation while releasing and charging money for unfinished/unpolished content","calling out an indie game developer for going on vacation while releasing and charging money for unfinished/unpolished content","","author","other person","scruples_justice","8","Unjust","1.0"
"scj_409_ailgvm","Repeatedly asking my brother to pay me back $3000","repeatedly asking my brother to pay me back $3000","","author","brother","scruples_justice","12","Just","0.917"
"scj_410_akijjw","Asking my wife to pay attention to me while out with her friends","asking my wife to pay attention to me while out with her friends","","author","wife","scruples_justice","10","Unjust","0.6"
"scj_411_b7ft0m","WIBTA if i asked my friend for money","asking my friend for money","","author","friend","scruples_justice","12","Just","0.5"
"scj_412_arl0uv","Not tipping when I pick up food","not tipping when I pick up food","","author","other person","scruples_justice","5","Just","1.0"
"scj_413_ax01as","Being angry that my brother's GF will be spending her entire spring break at our apartment","being angry that my brother's GF will be spending her entire spring break at our apartment","","author","brother","scruples_justice","5","Unjust","0.6"
"scj_414_b9can9","If I think my friend should refund fundraising money people contributed to","thinking my friend should refund fundraising money people contributed to","","author","friend","scruples_justice","9","Just","1.0"
"scj_415_b7eee1","Not wanting to give my wife's daughter money","not wanting to give my wife's daughter money","","author","wife","scruples_justice","30","Unjust","0.767"
"scj_416_b8utox","Refusing to tip a stripper","refusing to tip a stripper","","author","other person","scruples_justice","21","Just","0.571"
"scj_417_amj8fc","Telling my husband he needs to save his money better","telling my husband he needs to save his money better","","author","husband","scruples_justice","9","Just","1.0"
"scj_418_b6j7mr","Not wanting to pay rent for something my friend uses too","not wanting to pay rent for something my friend uses too","","author","friend","scruples_justice","11","Just","0.909"
"scj_419_awtwor","Not wanting to babysit my cousins kid","not wanting to babysit my cousins kid","","author","other person","scruples_justice","15","Just","1.0"
"scj_420_b19ees","WIBTA if I (f15) asked my brother (18) for 50/50 pay when we babysit","asking my brother for 50/50 pay when we babysit","","author","brother","scruples_justice","7","Just","1.0"
"scj_421_abgjkp","Asking friends to look after my pets and not my girlfriend","asking friends to look after my pets and not my girlfriend","","author","girlfriend","scruples_justice","12","Just","0.917"
"scj_422_axlrfk","Not Doing Laundry At 1am Even Though I Was Still Awake","not doing Laundry at 1am even though I was still awake","","author","other person","scruples_justice","14","Just","0.929"
"scj_423_ai158b","Wanting to give some of my friends money to buy jewelry my mother is making and selling to help pay for me and my step brothers braces","wanting to give some of my friends money to buy jewelry my mother is making and selling to help pay for me and my step brothers braces","","author","mother","scruples_justice","9","Just","0.778"
"scj_424_awogi0","Enforcing rent on jobless roommate","enforcing rent on jobless roommate","","author","other person","scruples_justice","7","Just","0.857"
"scj_425_9t7f1g","Not wanting to pay money for the damaged floor","not wanting to pay money for the damaged floor","","author","other person","scruples_justice","6","Just","1.0"
"scj_426_ak8dia","Not tipping at a self serve frozen yogurt place","not tipping at a self serve frozen yogurt place","","author","other person","scruples_justice","23","Just","0.957"
"scj_427_ap8ua8","Asking for a refund over an untracked order that never arrived","asking for a refund over an untracked order that never arrived","","author","other person","scruples_justice","8","Just","1.0"
"scj_428_acm8mr","Asking for help from my mother in law when I was scared to take care of my daughter alone","asking for help from my mother in law when I was scared to take care of my daughter alone","","author","mother","scruples_justice","10","Just","0.5"
"scj_429_aq1ruz","Paying a 2 dollar tip on a drink at a bar, partially in change.","paying a 2 dollar tip on a drink at a bar, partially in change","","author","other person","scruples_justice","12","Just","0.917"
"scj_430_aaowrq","Asking for gas money","asking for gas money","","author","other person","scruples_justice","8","Just","1.0"
"scj_432_axt35l","Not eating a meal that I paid for","not eating a meal that I paid for","","author","other person","scruples_justice","13","Just","1.0"
"scj_433_am4avg","Not wanting to take care of my soon to be Mother/Brother in law","not wanting to take care of my soon to be Mother/Brother in law","","author","other person","scruples_justice","8","Just","1.0"
"scj_434_b4big5","Not wanting to lend money to my mother","not wanting to lend money to my mother","","author","mother","scruples_justice","5","Just","1.0"
"scj_435_avkjfr","Wanting to work to pay for my schooling instead of accepting Indigenous funding","wanting to work to pay for my schooling instead of accepting indigenous funding","","author","other person","scruples_justice","5","Just","1.0"
"scj_437_b9rr4l","Pursuing my ex for child support","pursuing my ex for child support","","author","child","scruples_justice","20","Just","0.75"
"scj_438_ar0zof","Contemplating taking food from a food bank to help expenses while not being technically starving/homeless","contemplating taking food from a food bank to help expenses while not being technically starving/homeless","","author","other person","scruples_justice","57","Just","0.877"
"scj_439_b9g9z1","Not cooking differently for my girlfriend","not cooking differently for my girlfriend","","author","girlfriend","scruples_justice","15","Unjust","0.867"
"scj_440_9ysvin","Expecting my girlfriend to do most of the housework and not seeing her as “equal”","expecting my girlfriend to do most of the housework and not seeing her as ""equal""","","author","girlfriend","scruples_justice","24","Unjust","0.667"
"scj_441_aktz49","Going to my ex boyfriends house to get money he owed me","going to my ex boyfriends house to get money he owed me","","author","other person","scruples_justice","12","Unjust","0.917"
"scj_442_aeedbb","Cheating and wanting my money back","cheating and wanting my money back","","author","other person","scruples_justice","22","Unjust","0.864"
"scj_443_b7rk1y","AITAH. Giving discounts to friends but making money off the top.","giving discounts to friends but making money off the top","","author","other person","scruples_justice","6","Unjust","0.833"
"scj_444_axl7ub","Not wanting to look after a drunk friend when going out","not wanting to look after a drunk friend when going out","","author","other person","scruples_justice","12","Just","1.0"
"scj_445_as5wrt","Ratting on someone to the police who just gave me a $20 tip","ratting on someone to the police who just gave me a $20 tip","","author","other person","scruples_justice","13","Just","1.0"
"scj_446_b15wii","""showing off"" with money","""showing off"" with money","","author","other person","scruples_justice","10","Just","0.8"
"scj_447_b2fngf","Making money from a tragedy","making money from a tragedy","","author","other person","scruples_justice","11","Just","0.909"
"scj_448_amxy6v","WIBTA if I didn't want to pay for a hotel room that I won't be staying in","not wanting to pay for a hotel room that I won't be staying in","","author","other person","scruples_justice","6","Just","0.833"
"scj_449_b89h25","Venmo requesting my friend money she owed me even though I trusted her to pay me back","venmo requesting my friend money she owed me even though I trusted her to pay me back","","author","friend","scruples_justice","8","Just","1.0"
"scj_450_b5k02p","Paying for my son to go to college, but not my daughter","paying for my son to go to college, but not my daughter","","author","son","scruples_justice","100","Just","0.5"
"scj_451_ah3p0t","Wanting to be paid for three days of work even when I live with my parents","wanting to be paid for three days of work even when I live with my parents","","author","other person","scruples_justice","7","Unjust","0.714"
"scj_452_akpzya","Telling my fathers ex-girlfriend to submit a claim through his estate for money she said he owed her after he died","telling my fathers ex-girlfriend to submit a claim through his estate for money she said he owed her after he died","","author","other person","scruples_justice","9","Just","1.0"
"scj_453_ah2csg","Not paying for coffee","not paying for coffee","","author","other person","scruples_justice","14","Just","0.929"
"scj_454_b4ptbo","Trying to stop my friend from putting more money into a trading business that seems like a scam","trying to stop my friend from putting more money into a trading business that seems like a scam","","author","friend","scruples_justice","5","Just","0.6"
"scj_455_b98wlf","WIBTA if I ask my roommate to give me money for her cat ruining my furniture","asking my roommate to give me money for her cat ruining my furniture","","author","roommate","scruples_justice","17","Just","1.0"
"scj_457_axv0wp","Trying to gently suggest to my boyfriend to eat better and take care of himself","trying to gently suggest to my boyfriend to eat better and take care of himself","","author","boyfriend","scruples_justice","11","Just","0.909"
"scj_458_a5dw9f","WIBTA if I ask my parents to pay me $1000/mo","asking my parents to pay me $1000/mo","","author","other person","scruples_justice","6","Just","0.667"
"scj_459_azy8r4","Not paying my parents back for a crashed car","not paying my parents back for a crashed car","","author","other person","scruples_justice","16","Just","0.938"
"scj_460_am64h9","Asking to be paid early even though it technically costs money for my employer to employ me","asking to be paid early even though it technically costs money for my employer to employ me","","author","employer","scruples_justice","8","Unjust","0.875"
"scj_461_alzlz9","Wanting My Boyfriend to Pay 100$ In Rent Weekly","wanting my boyfriend to pay 100$ in Rent Weekly","","author","boyfriend","scruples_justice","14","Just","0.929"
"scj_462_ap1akm","Wanting the bills paid on time and in full","wanting the bills paid on time and in full","","author","other person","scruples_justice","7","Just","0.857"
"scj_463_ayl5bo","Getting angry about my mother making plans for me to babysit other people’s kids without my consent","getting angry about my mother making plans for me to babysit other people's kids without my consent","","author","mother","scruples_justice","28","Just","1.0"
"scj_464_awkeuq","Expecting my wife to do more of the housework because I bring in more income","expecting my wife to do more of the housework because I bring in more income","","author","wife","scruples_justice","87","Unjust","0.575"
"scj_465_ao6ur8","Asking my flatmate to pay for something he asked me to get him","asking my flatmate to pay for something he asked me to get him","","author","flatmate","scruples_justice","6","Just","0.833"
"scj_467_b87wir","If I refuse to chip in gas money for a road trip","refusing to chip in gas money for a road trip","","author","other person","scruples_justice","33","Just","0.545"
"scj_468_auo9vu","Not wanting to live with my parents after they decide to shift to the same city as mine","not wanting to live with my parents after they decide to shift to the same city as mine","","author","other person","scruples_justice","9","Just","1.0"
"scj_469_atv6ve","WIBTA If I refused to pay my roommate back if I get scammed from a security deposit","refusing to pay my roommate back if I get scammed from a security deposit","","author","roommate","scruples_justice","7","Unjust","0.857"
"scj_470_andx0q","Asking my friend to return the money £100 I gave him for the house we were meant to move into together.","asking my friend to return the money £100 I gave him for the house we were meant to move into together","","author","friend","scruples_justice","5","Just","0.6"
"scj_471_ak9grs","Putting a “tip jar” up when I drive Lyft","putting a ""tip jar"" up when I drive Lyft","","author","other person","scruples_justice","8","Just","1.0"
"scj_472_9z8ust","If I suddenly move out and leave my mom with an unexpected $850 more rent","suddenly moving out and leaving my mom with an unexpected $850 more rent","","author","mom","scruples_justice","12","Just","0.917"
"scj_473_auo2qw","Splitting the Uber costs 50/50 even though there were 3 of us","splitting the Uber costs 50/50 even though there were 3 of us","","author","other person","scruples_justice","84","Unjust","0.595"
"scj_474_aw7wc6","Making my mom pay for either Netflix or Hulu if her new bf is using them","making my mom pay for either Netflix or Hulu if her new bf is using them","","author","mom","scruples_justice","5","Unjust","0.8"
"scj_475_as2pot","Telling someone my expenses aren't their business","telling someone my expenses aren't their business","","author","other person","scruples_justice","8","Just","0.75"
"scj_476_ahgso0","Not wanting my date to pick up an extra shift at work","not wanting my date to pick up an extra shift at work","","author","other person","scruples_justice","5","Unjust","1.0"
"scj_478_9uma3n","Not wanting to pay for a concert ticket","not wanting to pay for a concert ticket","","author","other person","scruples_justice","12","Just","0.917"
"scj_479_avmeq9","Refusing to give money to someone who potentially really needed it","refusing to give money to someone who potentially really needed it","","author","other person","scruples_justice","5","Just","1.0"
"scj_480_azboec","Denying my GF sex because we were behind on cleaning","denying my GF sex because we were behind on cleaning","","author","other person","scruples_justice","8","Just","0.75"
"scj_481_b0i7i3","Not paying for somebodies meal","not paying for somebodies meal","","author","other person","scruples_justice","13","Just","1.0"
"scj_482_b66lrs","Suing someone who might not be able to reimburse me for damages and court fees","suing someone who might not be able to reimburse me for damages and court fees","","author","other person","scruples_justice","16","Just","0.875"
"scj_483_avasej","Making date pay equal amount","making date pay equal amount","","author","other person","scruples_justice","12","Just","0.917"
"scj_484_afqbar","Spending my Money on Something I Want Rather Than What My bf Suggests","spending my money on something I want rather than what my bf suggests","","author","other person","scruples_justice","5","Just","0.8"
"scj_485_b2zz53","Not showing up to a shift scheduled outside of my availability","not showing up to a shift scheduled outside of my availability","","author","other person","scruples_justice","16","Just","0.75"
"scj_486_9y3kh1","Refusing to give my friend his money back for a bet he lost","refusing to give my friend his money back for a bet he lost","","author","friend","scruples_justice","33","Just","0.515"
"scj_488_b55o2l","WIBTA for not wanting to buy dog food for my dog after my mother in law promised she’d take care of it herself","not wanting to buy dog food for my dog after my mother in law promised she'd take care of it herself","","author","mother","scruples_justice","8","Unjust","0.75"
"scj_489_ad2en6","[24m] for not taking care of my sick girlfriend [24f]","not taking care of my sick girlfriend","","author","girlfriend","scruples_justice","23","Just","0.739"
"scj_490_b9y246","Because I asked for my money back","asking for my money back","","author","other person","scruples_justice","8","Just","1.0"
"scj_492_alw7kr","Not doing the dishes as often if they aren't mine","not doing the dishes as often if they aren't mine","","author","other person","scruples_justice","5","Just","1.0"
"scj_493_ar0y3f","Refusing to retroactively pay damages my pet made to personal property","refusing to retroactively pay damages my pet made to personal property","","author","other person","scruples_justice","6","Just","0.667"
"scj_494_b6ex1s","Telling my wife that she's being selfish and entitled for expecting my parents to loan us money","telling my wife that she's being selfish and entitled for expecting my parents to loan us money","","author","wife","scruples_justice","15","Just","0.933"
"scj_495_avrq9g","Not tipping my SO when he serves me at his restaurant","not tipping my so when he serves me at his restaurant","","author","other person","scruples_justice","14","Just","0.929"
"scj_496_a58ouc","Keeping a package that I never paid for that I mistakenly was sent from a locally owned store","keeping a package that I never paid for that I mistakenly was sent from a locally owned store","","author","other person","scruples_justice","13","Unjust","0.769"
"scj_497_axy020","Asking my parents to help me pay rent whilst I housesit for them","asking my parents to help me pay rent whilst I housesit for them","","author","other person","scruples_justice","30","Just","0.833"
"scj_498_aqn536","WIBTA if I got my own internet meaning my roommate had to pay for his own also","getting my own internet meaning my roommate had to pay for his own also","","author","roommate","scruples_justice","27","Just","0.926"
"scj_500_b6o5l7","Being slightly mad at a caregiver","being slightly mad at a caregiver","","author","other person","scruples_justice","7","Just","0.857"
"scj_501_b9ie8m","Insisting that my boyfriend pay me back even though he’s sick","insisting that my boyfriend pay me back even though he's sick","","author","boyfriend","scruples_justice","12","Just","0.917"
"scj_131_as78o9","Refusing to pay utilities","refusing to pay utilities","","author","other person","scruples_justice","7","Just","0.571"
"scj_502_akelnu","Calling out my (23F) gf for not paying back any money she's borrowed","calling out my gf for not paying back any money she's borrowed","","author","other person","scruples_justice","19","Just","1.0"
"scj_503_b0fbpu","If I never tip","never tipping","","author","other person","scruples_justice","17","Unjust","0.765"
"scj_504_ayxggi","Being frustrated with my roommate who can't give me a straight answer about when to pay the Comcast bill","being frustrated with my roommate who can't give me a straight answer about when to pay the Comcast bill","","author","roommate","scruples_justice","7","Just","0.857"
"scj_505_b033ol","Refusing to let my SO Pay for my Meal","refusing to let my so pay for my meal","","author","other person","scruples_justice","12","Unjust","0.75"
"scj_506_azsiu2","Leaving my friend who was extremely tired and hungry, stranded in the city and (maybe) with no money to get back","leaving my friend who was extremely tired and hungry, stranded in the city and (maybe) with no money to get back","","author","friend","scruples_justice","8","Just","0.875"
"scj_507_awpihk","WIBTA if I ask my wife to stop using HER inheritance as her personal slush fund","asking my wife to stop using HER inheritance as her personal slush fund","","author","wife","scruples_justice","19","Just","1.0"
"scj_508_aoh0wu","Blocking my housemates devices from our broadband because he hasn’t paid for months","blocking my housemates devices from our broadband because he hasn't paid for months","","author","other person","scruples_justice","50","Just","1.0"
"scj_510_aqircz","Fucking a guy I don’t like for his money","fucking a guy I don't like for his money","","author","other person","scruples_justice","43","Just","0.837"
"scj_512_b4lqyh","Not wanting to give my gf money","not wanting to give my gf money","","author","other person","scruples_justice","5","Just","1.0"
"scj_513_acw4c8","Not tipping when they didn't deliver half my order","not tipping when they didn't deliver half my order","","author","other person","scruples_justice","5","Just","1.0"
"scj_514_awjjaz","Not wanting to help my girlfriend with her dog’s vet bills","not wanting to help my girlfriend with her dog's vet bills","","author","girlfriend","scruples_justice","10","Unjust","0.6"
"scj_515_ajufc6","To expect the customer to pay for both of the beverages after they asked for a remake","expecting the customer to pay for both of the beverages after they asked for a remake","","author","other person","scruples_justice","12","Unjust","0.583"
"scj_516_b54def","Tipping 10%","tipping 10","","author","other person","scruples_justice","31","Just","0.742"
"scj_517_ayue2k","Asking our babysitter to fold laundry while the kids are sleeping","asking our babysitter to fold laundry while the kids are sleeping","","author","other person","scruples_justice","13","Just","0.692"
"scj_518_a7uf9u","Refusing to pay for upgraded wifi with my roommate","refusing to pay for upgraded wifi with my roommate","","author","roommate","scruples_justice","9","Just","0.556"
"scj_520_all26k","Being mad at my gf for saying I’d be uncomfortable if two of our friends paid her to make out with her friend (a girl)","being mad at my gf for saying I'd be uncomfortable if two of our friends paid her to make out with her friend","","author","other person","scruples_justice","15","Just","1.0"
"scj_521_aqbsbi","Playing traditional Mexican music while cooking on Taco Tuesday (but on a Friday)","playing traditional mexican music while cooking on Taco Tuesday","","author","other person","scruples_justice","16","Just","0.938"
"scj_522_ax4591","Getting mad at my GF for using her rent money on her little sister","getting mad at my gf for using her rent money on her little sister","","author","other person","scruples_justice","9","Unjust","0.778"
"scj_523_b5wrfo","Asking my roommate for more money","asking my roommate for more money","","author","roommate","scruples_justice","11","Just","1.0"
"scj_524_awqozi","Making money off a bargain I didn't know about when I bought stuff for a friend","making money off a bargain I didn't know about when I bought stuff for a friend","","author","other person","scruples_justice","7","Unjust","0.571"
"scj_525_b5rr3f","Asking my parents for money","asking my parents for money","","author","other person","scruples_justice","12","Just","1.0"
"scj_526_b8sk71","Not paying rent","not paying rent","","author","other person","scruples_justice","11","Just","1.0"
"scj_527_ar5f0n","Asking my gf to pay","asking my gf to pay","","author","other person","scruples_justice","12","Unjust","0.917"
"scj_528_b4lzv6","WIBTA if I asked to be paid extra for taking care of the family pets","asking to be paid extra for taking care of the family pets","","author","other person","scruples_justice","7","Unjust","0.571"
"scj_529_b5lrzn","Insisting my GF take care of her weight","insisting my GF take care of her weight","","author","other person","scruples_justice","23","Unjust","0.87"
"scj_531_au4c2l","WIBTA if I block someone for making advances on me, but spent a lot of time and money on me","blocking someone for making advances on me, but spending a lot of time and money on me","","author","other person","scruples_justice","22","Just","0.909"
"scj_532_a7zcc6","Refusing to pay for a service I didn't ask for","refusing to pay for a service I didn't ask for","","author","other person","scruples_justice","29","Just","0.966"
"scj_533_acpxbu","Wanting my boyfriend to give me the money I owe the dentist for missing my appointment due to his own fault","wanting my boyfriend to give me the money I owe the dentist for missing my appointment due to his own fault","","author","boyfriend","scruples_justice","7","Unjust","0.571"
"scj_534_a3edmo","Not covering rent when my housemate's SO refused to pay their share","not covering rent when my housemate's so refused to pay their share","","author","other person","scruples_justice","10","Just","0.9"
"scj_535_axnydb","WIBTA if I asked my friend to pay for what he broke","asking my friend to pay for what he broke","","author","friend","scruples_justice","11","Just","1.0"
"scj_536_aiiw7p","Keeping my work computer until I receive my final pay check","keeping my work computer until I receive my final pay check","","author","other person","scruples_justice","7","Just","1.0"
"scj_538_azb03r","Making my sister do chores when she comes home from college","making my sister do chores when she comes home from college","","author","sister","scruples_justice","8","Unjust","0.625"
"scj_539_arkriu","Telling my mom she has 3 days to spend my money or I'll spend it myself","telling my mom she has 3 days to spend my money or I'll spend it myself","","author","mom","scruples_justice","11","Just","1.0"
"scj_540_b2njyu","WIBTA if I ask my bf we didn't split expenses 50/50","asking my bf we didn't split expenses 50/50","","author","other person","scruples_justice","9","Just","0.556"
"scj_541_axc3sh","WIBTA if I told my waiter/waitress I'm not going to tip","telling my waiter/waitress I'm not going to tip","","author","other person","scruples_justice","16","Unjust","0.938"
"scj_542_b2y6f3","Doing things to get people to owe me","doing things to get people to owe me","","author","other person","scruples_justice","22","Unjust","1.0"
"scj_543_9v0r2k","Sharing paid-for leftovers","sharing paid-for leftovers","","author","other person","scruples_justice","6","Just","1.0"
"scj_544_awqxob","Accepting a large bonus knowing i was quitting within a week","accepting a large bonus knowing I was quitting within a week","","author","other person","scruples_justice","24","Just","1.0"
"scj_545_aq0osi","Being annoyed that the girl I’m dating gives money to panhandlers","being annoyed that the girl I'm dating gives money to panhandlers","","author","other person","scruples_justice","46","Unjust","0.87"
"scj_547_b4g8b6","WIBTA If I paid for a Switch with 125 bills","paiding for a Switch with 125 bills","","author","other person","scruples_justice","11","Just","1.0"
"scj_548_altd14","Telling my roommate, whose rent I'm currently paying for, that her BF can't come over anymore","telling my roommate, whose rent I'm currently paying for, that her BF can't come over anymore","","author","roommate","scruples_justice","13","Unjust","0.846"
"scj_550_axq6m5","Not wanting to give my friend money for drugs","not wanting to give my friend money for drugs","","author","friend","scruples_justice","5","Unjust","0.8"
"scj_551_a7n5zf","Not giving my in laws any money","not giving my in laws any money","","author","other person","scruples_justice","40","Just","0.95"
"scj_552_b6sm4j","Not wanting to pay my friend","not wanting to pay my friend","","author","friend","scruples_justice","5","Just","1.0"
"scj_553_ac5up1","Wanting my dad to pay a portion of our netflix subscription","wanting my dad to pay a portion of our netflix subscription","","author","dad","scruples_justice","35","Just","0.686"
"scj_554_b6h6kn","Demanding payment","demanding payment","","author","other person","scruples_justice","12","Just","1.0"
"scj_556_b1jawl","AITA, because I Said no to Co-signing a Loan to refinance my girlfriends debt","saying no to co-signing a Loan to refinance my girlfriends debt","","author","other person","scruples_justice","27","Just","1.0"
"scj_557_aye6tj","Thinking my mom doesn't deserve the majority of my dad's inheritance","thinking my mom doesn't deserve the majority of my dad's inheritance","","author","mom","scruples_justice","7","Just","0.857"
"scj_558_a785hb","Being mad at my Mom for tipping $1k on an $18k bingo win","being mad at my mom for tipping $1k on an $18k bingo win","","author","mom","scruples_justice","19","Unjust","0.842"
"scj_559_b3yt6a","Shorting a tip because the service staff assumed I was someone's mother","shorting a tip because the service staff assumed I was someone's mother","","author","other person","scruples_justice","49","Just","0.673"
"scj_560_aooyf9","Refusing to let people pay for my meals","refusing to let people pay for my meals","","author","other person","scruples_justice","6","Just","0.833"
